STATE,FIP,Year,deaths,pop,fat_rate,own_rate
Nevada,32,2012,360,2752565,13.08,0.377
New Hampshire,33,2012,117,1321182,8.86,0.394
New Jersey,34,2012,444,8873211,5.0,0.07
New Mexico,35,2012,323,2083784,15.5,0.403
New York,36,2012,977,19602769,4.98,0.154
North Carolina,37,2012,1175,9746175,12.06,0.379
North Dakota,38,2012,73,702087,10.4,0.561
Ohio,39,2012,1263,11550839,10.93,0.362
Oklahoma,40,2012,619,3817054,16.22,0.563
Oregon,41,2012,443,3899116,11.36,0.476
Pennsylvania,42,2012,1453,12771854,11.38,0.38
Rhode Island,44,2012,42,1052901,3.99,0.109
South Carolina,45,2012,743,4720760,15.74,0.459
South Dakota,46,2012,84,834441,10.07,0.568
Tennessee,47,2012,995,6454306,15.42,0.478
Texas,48,2012,2743,26071655,10.52,0.426
Utah,49,2012,324,2855782,11.35,0.423
Vermont,50,2012,56,626444,8.94,0.482
Virginia,51,2012,840,8192048,10.25,0.397
Washington,53,2012,681,6895226,9.88,0.339
West Virginia,54,2012,278,1856560,14.97,0.571
Wisconsin,55,2012,483,5726177,8.43,0.44
Wyoming,56,2012,117,576765,20.29,0.597
Alabama,01,2011,785,4799918,16.35,0.513
Alaska,02,2011,126,722713,17.43,0.627
Arizona,04,2011,964,6467163,14.91,0.329
Arkansas,05,2011,462,2939493,15.72,0.527
California,06,2011,3004,37676861,7.97,0.16
Colorado,08,2011,573,5118360,11.19,0.36
Connecticut,09,2011,210,3589893,5.85,0.163
Delaware,10,2011,77,907924,8.48,0.309
Florida,12,2011,2378,19096952,12.45,0.325
Georgia,13,2011,1232,9811610,12.56,0.421
Hawaii,15,2011,49,1377864,3.56,0.081
Idaho,16,2011,192,1584143,12.12,0.466
Illinois,17,2011,1114,12860012,8.66,0.243
Indiana,18,2011,638,6516480,9.79,0.351
Iowa,19,2011,220,3065223,7.18,0.376
Kansas,20,2011,329,2869503,11.47,0.444
Kentucky,21,2011,617,4369354,14.12,0.529
Louisiana,22,2011,865,4575404,18.91,0.467
Maine,23,2011,136,1328231,10.24,0.47
Maryland,24,2011,542,5843603,9.28,0.266
Massachusetts,25,2011,254,6611923,3.84,0.135
Michigan,26,2011,1156,9876213,11.7,0.325
Minnesota,27,2011,396,5348562,7.4,0.411
Mississippi,28,2011,530,2978162,17.8,0.498
Missouri,29,2011,854,6010717,14.21,0.434
Montana,30,2011,167,997821,16.74,0.603
Nebraska,31,2011,161,1842283,8.74,0.418
Nevada,32,2011,376,2718379,13.83,0.318
New Hampshire,33,2011,92,1318473,6.98,0.385
New Jersey,34,2011,482,8841243,5.45,0.102
New Mexico,35,2011,306,2077756,14.73,0.366
New York,36,2011,997,19519529,5.11,0.158
North Carolina,37,2011,1154,9650963,11.96,0.406
North Dakota,38,2011,61,685476,8.9,0.541
Ohio,39,2011,1227,11544824,10.63,0.334
Oklahoma,40,2011,628,3786274,16.59,0.533
Oregon,41,2011,420,3868031,10.86,0.413
Pennsylvania,42,2011,1438,12744293,11.28,0.362
Rhode Island,44,2011,33,1052451,3.14,0.1
South Carolina,45,2011,705,4672637,15.09,0.466
South Dakota,46,2011,71,824398,8.61,0.479
Tennessee,47,2011,948,6397634,14.82,0.491
Texas,48,2011,2599,25646389,10.13,0.378
Utah,49,2011,308,2816124,10.94,0.392
Vermont,50,2011,78,626730,12.45,0.472
Virginia,51,2011,868,8110035,10.7,0.413
Washington,53,2011,624,6822520,9.15,0.335
West Virginia,54,2011,278,1854972,14.99,0.622
Wisconsin,55,2011,445,5709640,7.79,0.414
Wyoming,56,2011,96,567725,16.91,0.539
Alabama,01,2010,782,4779736,16.36,0.456
Alaska,02,2010,144,710231,20.28,0.611
Arizona,04,2010,931,6392017,14.57,0.346
Arkansas,05,2010,419,2915918,14.37,0.493
California,06,2010,2935,37253956,7.88,0.174
Colorado,08,2010,555,5029196,11.04,0.384
Connecticut,09,2010,209,3574097,5.85,0.172
Delaware,10,2010,88,897934,9.8,0.269
Florida,12,2010,2268,18801310,12.06,0.27
Georgia,13,2010,1223,9687653,12.62,0.364
Hawaii,15,2010,45,1360301,3.31,0.084
Idaho,16,2010,198,1567582,12.63,0.523
Illinois,17,2010,1064,12830632,8.29,0.243
Indiana,18,2010,709,6483802,10.93,0.391
Iowa,19,2010,213,3046355,6.99,0.411
Kansas,20,2010,300,2853118,10.51,0.439
Kentucky,21,2010,555,4339367,12.79,0.464
Louisiana,22,2010,864,4533372,19.06,0.454
Maine,23,2010,113,1328361,8.51,0.46
Maryland,24,2010,538,5773552,9.32,0.196
Massachusetts,25,2010,270,6547629,4.12,0.122
Michigan,26,2010,1076,9883640,10.89,0.342
Minnesota,27,2010,365,5303925,6.88,0.41
Mississippi,28,2010,475,2967297,16.01,0.48
Missouri,29,2010,846,5988927,14.13,0.463
Montana,30,2010,164,989415,16.58,0.621
Nebraska,31,2010,152,1826341,8.32,0.425
Nevada,32,2010,395,2700551,14.63,0.372
New Hampshire,33,2010,118,1316470,8.96,0.394
New Jersey,34,2010,456,8791894,5.19,0.085
New Mexico,35,2010,301,2059179,14.62,0.375
New York,36,2010,1011,19378102,5.22,0.143
North Carolina,37,2010,1123,9535483,11.78,0.35
North Dakota,38,2010,65,672591,9.66,0.543
Ohio,39,2010,1148,11536504,9.95,0.357
Oklahoma,40,2010,538,3751351,14.34,0.488
Oregon,41,2010,458,3831074,11.95,0.409
Pennsylvania,42,2010,1307,12702379,10.29,0.355
Rhode Island,44,2010,49,1052567,4.66,0.091
South Carolina,45,2010,648,4625364,14.01,0.418
South Dakota,46,2010,75,814180,9.21,0.523
Tennessee,47,2010,932,6346105,14.69,0.438
Texas,48,2010,2714,25145561,10.79,0.346
Utah,49,2010,314,2763885,11.36,0.416
Vermont,50,2010,70,625741,11.19,0.484
Virginia,51,2010,875,8001024,10.94,0.363
Washington,53,2010,609,6724540,9.06,0.338
West Virginia,54,2010,273,1852994,14.73,0.572
Wisconsin,55,2010,501,5686986,8.81,0.431
Wyoming,56,2010,92,563626,16.32,0.572
Alabama,01,2009,830,4757938,17.44,0.482
Alaska,02,2009,104,698895,14.88,0.543
Arizona,04,2009,856,6343154,13.49,0.396
Arkansas,05,2009,465,2896843,16.05,0.493
California,06,2009,3094,36961229,8.37,0.196
Colorado,08,2009,583,4972195,11.73,0.411
Connecticut,09,2009,173,3561807,4.86,0.185
Delaware,10,2009,76,891730,8.52,0.265
Florida,12,2009,2324,18652644,12.46,0.281
Georgia,13,2009,1247,9620846,12.96,0.453
Hawaii,15,2009,47,1346717,3.49,0.062
Idaho,16,2009,196,1554439,12.61,0.541
Illinois,17,2009,1058,12796778,8.27,0.243
Indiana,18,2009,735,6459325,11.38,0.4
Iowa,19,2009,193,3032870,6.36,0.387
Kansas,20,2009,303,2832704,10.7,0.43
Kentucky,21,2009,560,4317074,12.97,0.491
Louisiana,22,2009,810,4491648,18.03,0.458
Maine,23,2009,122,1329590,9.18,0.441
Maryland,24,2009,586,5730388,10.23,0.218
Massachusetts,25,2009,207,6517613,3.18,0.091
Michigan,26,2009,1095,9901591,11.06,0.354
Minnesota,27,2009,336,5281203,6.36,0.396
Mississippi,28,2009,487,2958774,16.46,0.478
Missouri,29,2009,822,5961088,13.79,0.47
Montana,30,2009,166,983982,16.87,0.625
Nebraska,31,2009,132,1812683,7.28,0.415
Nevada,32,2009,406,2684665,15.12,0.391
New Hampshire,33,2009,89,1316102,6.76,0.383
New Jersey,34,2009,411,8755602,4.69,0.098
New Mexico,35,2009,299,2036802,14.68,0.375
New York,36,2009,958,19307066,4.96,0.152
North Carolina,37,2009,1112,9449566,11.77,0.341
North Dakota,38,2009,59,664968,8.87,0.537
Ohio,39,2009,991,11528896,8.6,0.368
Oklahoma,40,2009,533,3717572,14.34,0.508
Oregon,41,2009,417,3808600,10.95,0.456
Pennsylvania,42,2009,1349,12666858,10.65,0.371
Rhode Island,44,2009,56,1053646,5.31,0.145
South Carolina,45,2009,634,4589872,13.81,0.409
South Dakota,46,2009,75,807067,9.29,0.519
Tennessee,47,2009,966,6306019,15.32,0.421
Texas,48,2009,2691,24801761,10.85,0.357
Utah,49,2009,260,2723421,9.55,0.396
Vermont,50,2009,60,624817,9.6,0.498
Virginia,51,2009,836,7925937,10.55,0.359
Washington,53,2009,623,6667426,9.34,0.366
West Virginia,54,2009,251,1847775,13.58,0.551
Wisconsin,55,2009,457,5669264,8.06,0.432
Wyoming,56,2009,96,559851,17.15,0.615
Alabama,01,2008,820,4718206,17.38,0.503
Alaska,02,2008,142,687455,20.66,0.613
Arizona,04,2008,907,6280362,14.44,0.382
Arkansas,05,2008,444,2874554,15.45,0.508
California,06,2008,3171,36604337,8.66,0.175
Colorado,08,2008,513,4889730,10.49,0.402
Connecticut,09,2008,200,3545579,5.64,0.192
Delaware,10,2008,95,883874,10.75,0.263
Florida,12,2008,2334,18527305,12.6,0.303
Georgia,13,2008,1177,9504843,12.38,0.395
Hawaii,15,2008,41,1332213,3.08,0.099
Idaho,16,2008,175,1534320,11.41,0.543
Illinois,17,2008,1105,12747038,8.67,0.205
Indiana,18,2008,723,6424806,11.25,0.374
Iowa,19,2008,224,3016734,7.43,0.396
Kansas,20,2008,277,2808076,9.86,0.421
Kentucky,21,2008,576,4289878,13.43,0.499
Louisiana,22,2008,822,4435586,18.53,0.492
Maine,23,2008,122,1330509,9.17,0.462
Maryland,24,2008,665,5684965,11.7,0.235
Massachusetts,25,2008,224,6468967,3.46,0.096
Michigan,26,2008,1081,9946889,10.87,0.315
Minnesota,27,2008,371,5247018,7.07,0.386
Mississippi,28,2008,568,2947806,19.27,0.497
Missouri,29,2008,818,5923916,13.81,0.487
Montana,30,2008,155,976415,15.87,0.69
Nebraska,31,2008,150,1796378,8.35,0.34
Nevada,32,2008,404,2653630,15.22,0.371
New Hampshire,33,2008,93,1315906,7.07,0.368
New Jersey,34,2008,429,8711090,4.92,0.088
New Mexico,35,2008,294,2010662,14.62,0.357
New York,36,2008,963,19212436,5.01,0.142
North Carolina,37,2008,1160,9309449,12.46,0.345
North Dakota,38,2008,59,657569,8.97,0.586
Ohio,39,2008,1115,11515391,9.68,0.365
Oklahoma,40,2008,513,3668976,13.98,0.508
Oregon,41,2008,385,3768748,10.22,0.436
Pennsylvania,42,2008,1345,12612285,10.66,0.384
Rhode Island,44,2008,44,1055003,4.17,0.092
South Carolina,45,2008,615,4528996,13.58,0.42
South Dakota,46,2008,83,799124,10.39,0.51
Tennessee,47,2008,985,6247411,15.77,0.495
Texas,48,2008,2598,24309039,10.69,0.367
Utah,49,2008,238,2663029,8.94,0.355
Vermont,50,2008,54,624151,8.65,0.4
Virginia,51,2008,817,7833496,10.43,0.372
Washington,53,2008,587,6562231,8.95,0.38
West Virginia,54,2008,239,1840310,12.99,0.575
Wisconsin,55,2008,443,5640996,7.85,0.421
Wyoming,56,2008,93,546043,17.03,0.64
Alabama,01,2007,812,4672840,17.38,0.481
Alaska,02,2007,120,680300,17.64,0.577
Arizona,04,2007,951,6167681,15.42,0.38
Arkansas,05,2007,426,2848650,14.95,0.507
California,06,2007,3268,36250311,9.02,0.185
Colorado,08,2007,505,4803868,10.51,0.404
Connecticut,09,2007,149,3527270,4.22,0.116
Delaware,10,2007,79,871749,9.06,0.262
Florida,12,2007,2272,18367842,12.37,0.261
Georgia,13,2007,1244,9349988,13.3,0.388
Hawaii,15,2007,36,1315675,2.74,0.064
Idaho,16,2007,187,1505105,12.42,0.561
Illinois,17,2007,1032,12695866,8.13,0.225
Indiana,18,2007,670,6379599,10.5,0.358
Iowa,19,2007,157,2999212,5.23,0.388
Kansas,20,2007,292,2783785,10.49,0.447
Kentucky,21,2007,612,4256672,14.38,0.509
Louisiana,22,2007,869,4375581,19.86,0.476
Maine,23,2007,107,1327040,8.06,0.457
Maryland,24,2007,678,5653408,11.99,0.206
Massachusetts,25,2007,235,6431559,3.65,0.075
Michigan,26,2007,1095,10001284,10.95,0.334
Minnesota,27,2007,344,5207203,6.61,0.403
Mississippi,28,2007,535,2928350,18.27,0.522
Missouri,29,2007,759,5887612,12.89,0.449
Montana,30,2007,139,964706,14.41,0.639
Nebraska,31,2007,142,1783440,7.96,0.426
Nevada,32,2007,414,2601072,15.92,0.397
New Hampshire,33,2007,78,1312540,5.94,0.364
New Jersey,34,2007,446,8677885,5.14,0.063
New Mexico,35,2007,295,1990070,14.82,0.428
New York,36,2007,985,19132335,5.15,0.14
North Carolina,37,2007,1116,9118037,12.24,0.36
North Dakota,38,2007,57,652822,8.73,0.538
Ohio,39,2007,1105,11500468,9.61,0.324
Oklahoma,40,2007,482,3634349,13.26,0.497
Oregon,41,2007,387,3722417,10.4,0.46
Pennsylvania,42,2007,1325,12563937,10.55,0.346
Rhode Island,44,2007,37,1057315,3.5,0.072
South Carolina,45,2007,592,4444110,13.32,0.415
South Dakota,46,2007,52,791623,6.57,0.511
Tennessee,47,2007,924,6175727,14.96,0.461
Texas,48,2007,2561,23831983,10.75,0.392
Utah,49,2007,253,2597746,9.74,0.426
Vermont,50,2007,52,623481,8.34,0.43
Virginia,51,2007,825,7751000,10.64,0.367
Washington,53,2007,548,6461587,8.48,0.361
West Virginia,54,2007,267,1834052,14.56,0.599
Wisconsin,55,2007,488,5610775,8.7,0.414
Wyoming,56,2007,76,534876,14.21,0.621
Alabama,01,2006,780,4628981,16.85,0.468
Alaska,02,2006,111,675302,16.44,0.551
Arizona,04,2006,982,6029141,16.29,0.385
Arkansas,05,2006,426,2821761,15.1,0.481
California,06,2006,3363,36021202,9.34,0.202
Colorado,08,2006,497,4720423,10.53,0.399
Connecticut,09,2006,173,3517460,4.92,0.174
Delaware,10,2006,79,859268,9.19,0.303
Florida,12,2006,2083,18166990,11.47,0.282
Georgia,13,2006,1144,9155813,12.49,0.395
Hawaii,15,2006,33,1309731,2.52,0.116
Idaho,16,2006,180,1468669,12.26,0.554
Illinois,17,2006,1036,12643955,8.19,0.245
Indiana,18,2006,742,6332669,11.72,0.386
Iowa,19,2006,193,2982644,6.47,0.375
Kansas,20,2006,299,2762931,10.82,0.426
Kentucky,21,2006,531,4219239,12.59,0.476
Louisiana,22,2006,831,4302665,19.31,0.483
Maine,23,2006,105,1323619,7.93,0.431
Maryland,24,2006,678,5627367,12.05,0.237
Massachusetts,25,2006,211,6410084,3.29,0.116
Michigan,26,2006,1157,10036081,11.53,0.372
Minnesota,27,2006,329,5163555,6.37,0.373
Mississippi,28,2006,475,2904978,16.35,0.49
Missouri,29,2006,767,5842704,13.13,0.445
Montana,30,2006,120,952692,12.6,0.614
Nebraska,31,2006,141,1772693,7.95,0.351
Nevada,32,2006,405,2522658,16.05,0.351
New Hampshire,33,2006,82,1308389,6.27,0.364
New Jersey,34,2006,492,8661679,5.68,0.118
New Mexico,35,2006,283,1962137,14.42,0.392
New York,36,2006,1002,19104631,5.24,0.164
North Carolina,37,2006,1133,8917270,12.71,0.351
North Dakota,38,2006,46,649422,7.08,0.484
Ohio,39,2006,1114,11481213,9.7,0.353
Oklahoma,40,2006,482,3594090,13.41,0.468
Oregon,41,2006,384,3670883,10.46,0.451
Pennsylvania,42,2006,1371,12510809,10.96,0.382
Rhode Island,44,2006,47,1063096,4.42,0.129
South Carolina,45,2006,616,4357847,14.14,0.403
South Dakota,46,2006,77,783033,9.83,0.514
Tennessee,47,2006,943,6088766,15.49,0.447
Texas,48,2006,2422,23359580,10.37,0.363
Utah,49,2006,224,2525507,8.87,0.378
Vermont,50,2006,54,622892,8.67,0.441
Virginia,51,2006,816,7673725,10.63,0.373
Washington,53,2006,546,6370753,8.57,0.359
West Virginia,54,2006,253,1827912,13.84,0.56
Wisconsin,55,2006,424,5577655,7.6,0.425
Wyoming,56,2006,80,522667,15.31,0.583
Alabama,01,2005,736,4569805,16.11,0.485
Alaska,02,2005,116,666946,17.39,0.609
Arizona,04,2005,934,5839077,16.0,0.373
Arkansas,05,2005,439,2781097,15.79,0.499
California,06,2005,3453,35827943,9.64,0.209
Colorado,08,2005,535,4631888,11.55,0.378
Connecticut,09,2005,187,3506956,5.33,0.202
Delaware,10,2005,75,845150,8.87,0.3
Florida,12,2005,1838,17842038,10.3,0.295
Georgia,13,2005,1064,8925922,11.92,0.416
Hawaii,15,2005,28,1292729,2.17,0.072
Idaho,16,2005,195,1428241,13.65,0.589
Illinois,17,2005,1019,12609903,8.08,0.23
Indiana,18,2005,705,6278616,11.23,0.37
Iowa,19,2005,201,2964454,6.78,0.359
Kansas,20,2005,257,2745299,9.36,0.392
Kentucky,21,2005,548,4182742,13.1,0.502
Louisiana,22,2005,858,4576628,18.75,0.486
Maine,23,2005,109,1318787,8.27,0.425
Maryland,24,2005,657,5592379,11.75,0.266
